                Time          Cycles PC       Instr    Mnemonic
               94500              79 1c000080 0180006f jal              x0, 24             
             1976500            1961 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002688  PA:1c002688
             1994500            1979 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00268c  x5:1c002688
             1995500            1980 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00268c  x6:1c0026ac
             2024500            2009 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00268c  PA:1c00268c
             2042500            2027 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002690  x5:1c00268c
             2043500            2028 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002690  x6:1c0026ac
             2072500            2057 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002690  PA:1c002690
             2090500            2075 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002694  x5:1c002690
             2091500            2076 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002694  x6:1c0026ac
             2120500            2105 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002694  PA:1c002694
             2138500            2123 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002698  x5:1c002694
             2139500            2124 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002698  x6:1c0026ac
             2168500            2153 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002698  PA:1c002698
             2186500            2171 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00269c  x5:1c002698
             2187500            2172 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00269c  x6:1c0026ac
             2216500            2201 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00269c  PA:1c00269c
             2234500            2219 1c0000c6 00428293 addi             x5, x5, 4            x5=1c0026a0  x5:1c00269c
             2235500            2220 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c0026a0  x6:1c0026ac
             2264500            2249 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c0026a0  PA:1c0026a0
             2282500            2267 1c0000c6 00428293 addi             x5, x5, 4            x5=1c0026a4  x5:1c0026a0
             2283500            2268 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c0026a4  x6:1c0026ac
             2312500            2297 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c0026a4  PA:1c0026a4
             2330500            2315 1c0000c6 00428293 addi             x5, x5, 4            x5=1c0026a8  x5:1c0026a4
             2331500            2316 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c0026a8  x6:1c0026ac
             2360500            2345 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c0026a8  PA:1c0026a8
             2378500            2363 1c0000c6 00428293 addi             x5, x5, 4            x5=1c0026ac  x5:1c0026a8
             2379500            2364 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c0026ac  x6:1c0026ac
             2380500            2365 1c0000cc f4001117 auipc            x2, 0xf4001000       x2=100010cc
